area,latitude,longitude
Al Hebiah Second,25.035577,55.245959
Hessyan First,24.959866,55.020931
Dubai Investment Park First,24.990351,55.167311
Island 2,25.198341,55.226178
Wadi Al Safa 3,25.10571265,55.31653529
Nad Shamma,25.2177763,55.3838435
Al Khairan First,25.0961994,55.173292
Bukadra,25.1768604,55.3261997
Al Kifaf,25.2346273,55.29859731
Nad Al Shiba Third,25.1530998,55.3371294
Al Yufrah 2,24.9598549,55.3837443
Saih Shuaib 1,24.89905925,54.99608687
Wadi Al Safa 2,25.09879345,55.35140174
Madinat Hind 4,25.0077507,55.3637056
Wadi Al Safa 4,25.0751088,55.3175621
Madinat Al Mataar,24.890272,55.1428455
Wadi Al Safa 5,25.0842543,55.3729759
Um Suqaim,25.1523633,55.186371
Al Yelayiss 1,25.019199,55.311203
Nadd Hessa,25.1219309,55.3850506
Wadi Al Safa 7,25.0352976,55.2826859
Al Ruwayyah,25.121391,55.4305103
Al Hebiah Third,25.021728,55.259469
Lehbab,25.0445193,55.6072767
Al Yufrah 3,24.96772845,55.39231406
Al Hebiah Sixth,25.017939,55.266602
Al Yelayiss 2,24.997482,55.291728
Al Yufrah 1,25.0029883,55.4387395
Al Hebiah Fifth,25.008591,55.237039
Al Warsan Third,25.155129,55.466001
Al Aweer Second,25.168112,55.59146
Jabal Ali,25.0578769,55.1273617
Margham,24.94830825,55.57904515
Al Nahda First,25.290066,55.364509
Lehbab First,25.064783,55.604458
Al Ttay,25.2321563,55.5563174
Tawi Al Muraqqab,24.82029,55.58435
Al Twar Second,25.261911,55.381784
Al Qusais Industrial Fourth,25.29379,55.400523
Zaabeel Second,25.203596,55.297603
Al Qusais Industrial Third,25.298445,55.389779
Al Garhoud,25.1786104,55.26940918
World Islands,25.2110472,55.1693538
Ras Al Khor Industrial First,25.17856,55.339384
Al Qoaz,25.13083,55.23273
Wadi Al Amardi,25.20929,55.4879092
Oud Metha,25.2439301,55.3158939
Al Hudaiba,25.2428328,55.279212
Al Qusais First,25.278386,55.373169
Ghadeer Al tair,25.1509135,55.2720063
Al Warqa Fourth,25.176941,55.437516
Al Qusais Industrial Second,25.282879,55.393777
Muhaisanah Fourth,25.279056,55.408976
Dubai International Airport,25.2526713,55.36527556
Nad Al Shiba Second,25.159822,55.349067
Ras Al Khor Industrial Third,25.174849,55.380131
Al Warsan Second,25.160526,55.437255
Al-Murar Jadeed,25.277047,55.309856
Al Barsha,25.096326,55.1984022
Burj Nahar,25.272789,55.3161814
Al Goze Industrial Second,25.13593,55.248375
Al-Aweer,25.176036,55.5408265
Al Khawaneej Second,25.231879,55.522101
Trade Center Second,25.218502,55.28438
Al-Shumaal,,
Al Aweer First,25.204233,55.570421
Saih Shuaib 4,24.82525,55.09603
Um Hurair First,25.254722,55.311706
Nad Al Shiba Fourth,25.137607,55.364402
Al Khawaneej,25.2407108,55.4890201
Al Musalla (Dubai),25.2462195,55.3036221
Muhaisanah Second,25.266551,55.423906
Al-Nakhal,25.27125214,55.3096219
Lehbab Second,25.036256,55.56496
Tawaa Al Sayegh,25.0286838,55.1840244
Al Goze Third,25.158792,55.24312
Al Goze Industrial Fourth,25.117448,55.23314
Palm Deira,25.2761408,55.3016752
Al-Murar Qadeem,25.27576,55.30738
Ras Al Khor,25.1939625,55.3392449
Hessyan Second,24.939145,54.965846
Al-Tawar,25.2461206,55.3036234
Madinat Hind 1,25.063703,55.386554
Jumeirah,25.2069604,55.2474974
Oud Al Muteena First,25.264476,55.446328
Zaabeel First,25.224083,55.304538
AL Athbah,25.175974,55.4784778
Al Eyas,25.214294,55.540444
Al Lusaily,24.923156,55.450182
Al Sabkha,25.26939465,55.30243227
Jabal Ali Industrial Third,24.923058,55.05972
Sikkat Al Khail North,25.270774,55.300424
Grayteesah,24.856351,55.513675
Al Mizhar,25.2450842,55.4503154
Al Rowaiyah First,25.127,55.430437
Al-Riqqa West,25.26325,55.31994
Al Qusais,25.2673436,55.3876601
Um Ramool,25.232263,55.369513
Al Maha,24.822994,55.662407
Naif North,25.271983,55.309721
Al Qusais Industrial First,25.286872,55.387075
Hatta,24.801571,56.129632
Muragab,,
Al Safaa,25.17046,55.23273
Al-Safiyyah,25.2773507,55.337372
Dubai Investment Park Second,24.976497,55.209918
Nad Rashid,25.2262638,55.385474
Madinat Hind 3,25.029488,55.4254573
Al Yufrah 4,24.96772845,55.39231406
Al-Riqqa East,25.266927,55.310961
Muhaisna,25.27576465,55.4177898
Al Rowaiyah Third,25.124056,55.477266
Naif South,25.271983,55.309721
Me'Aisem Second,24.99898,55.216243
Sikkat Al Khail South,25.270774,55.300424
Al-Bastakiyah,25.2583323,55.2999988
Al Faga'A,24.7386,55.5278
Zareeba Duviya,,
Al-Souq Al Kabeer (Deira),25.26216,55.29436
Al-Muhaisnah North,25.2464,55.41847
Mushrif,25.231494,55.43942
Al Baharna,25.260982,55.2914371
Al-Musalla (Deira),25.2736322,55.3013029
Al-Raulah,,
Mugatrah,24.800374,55.216305
Al Yelayiss 5,24.9759,55.265794
Saih Shuaib 3,24.842982,55.076447
Al Layan1,24.794929,55.121928
Bur Dubai,25.247999,55.294198
Al Yelayiss 4,24.968137,55.320968
